municipio,fecha,luces_nocturnas,densid_vial,imae,interaccion_causal,area_km2,imae_primario,imae_secundario,imae_terciario,poblacion_estimada,categoria
Municipio Yalagüina,2024-02-01,0.213473051786423,0.9063200505754851,177.161716728363,160.56521606528972,71.40755290770491,222.47700083724,173.59025665488693,167.25137596364354,13360.908203125,Estrato Alto
Municipio Yalagüina,2024-03-01,0.234629601240158,0.9063200505754851,177.376665096032,160.76002808074662,71.40755290770491,220.6015322119766,173.8793987292519,167.64828749848562,13360.908203125,Estrato Alto
Municipio Yalagüina,2024-04-01,0.332294046878815,0.9063200505754851,177.358194183618,160.74328752247337,71.40755290770491,217.9484616342138,173.85430456575173,168.0996842749446,13360.908203125,Estrato Alto
Municipio Yalagüina,2024-05-01,0.108868204057217,0.9063200505754851,177.186396262752,160.58758362214533,71.40755290770491,214.8827382449396,173.43958018173694,168.5075561284749,13360.908203125,Estrato Alto
Municipio Yalagüina,2024-06-01,0.318307548761368,0.9063200505754851,177.03870452819,160.45372764180755,71.40755290770491,211.62582958803017,172.8632982006953,168.8411606849397,13360.908203125,Estrato Alto
Municipio Yalagüina,2024-07-01,0.122643157839775,0.9063200505754851,177.133018654093,160.53920642516593,71.40755290770491,208.8303241847726,172.38561666751605,169.15414440993473,13360.908203125,Estrato Alto
Municipio Yalagüina,2024-08-01,0.261712670326233,0.9063200505754851,177.551800870551,160.91875714476626,71.40755290770491,206.9750118919312,172.08085871068477,169.4920612375005,13360.908203125,Estrato Alto
Municipio Yalagüina,2024-09-01,0.223700493574142,0.9063200505754851,178.225151183691,161.52902803462632,71.40755290770491,206.216634619263,171.77680180207244,169.89702103000525,13360.908203125,Estrato Alto
Municipio Yalagüina,2024-10-01,0.212799414992332,0.9063200505754851,179.070617435472,162.29529105070034,71.40755290770491,206.1556336880116,171.47968059922246,170.34099105066747,13360.908203125,Estrato Alto
Municipio Yalagüina,2024-11-01,0.252620279788971,0.9063200505754851,180.043561792387,163.17709002946668,71.40755290770491,206.632607596417,171.4426564688722,170.84012642540094,13360.908203125,Estrato Alto
Municipio Yalagüina,2024-12-01,0.146119683980942,0.9063200505754851,181.07562490782,164.112469524443,71.40755290770491,207.85591169433215,171.88002310485527,171.450476439014,13360.908203125,Estrato Alto
Municipio Yalagüina,2025-01-01,0.199785575270653,0.9063200505754851,182.158050524699,165.093493564277,71.40755290770491,210.05262126788085,172.71845193551383,172.1276297978319,13360.908203125,Estrato Alto
Municipio Yalagüina,2025-02-01,0.203643709421158,0.9063200505754851,183.288957868323,166.11845756514646,71.40755290770491,213.06115397534225,173.83136253350867,172.78171400487403,13360.908203125,Estrato Alto
Municipio Yalagüina,2025-03-01,0.26893013715744,0.9063200505754851,184.368377063192,167.0967568244323,71.40755290770491,216.4646858132798,175.13468581359368,173.4124707184492,13360.908203125,Estrato Alto
Municipio Yalagüina,2025-04-01,0.534313023090363,0.9063200505754851,185.352248647442,167.98845936842952,71.40755290770491,219.93435855010935,176.3553614930357,174.04172570928316,13360.908203125,Estrato Alto
Municipio Yalagüina,2025-05-01,0.322489142417908,0.9063200505754851,186.180760080434,168.7393558922812,71.40755290770491,223.0006279365872,177.41845708092967,174.64763593385786,13360.908203125,Estrato Alto
Municipio Yalagüina,2025-06-01,0.136519491672516,0.9063200505754851,186.842800735833,169.33937661256547,71.40755290770491,225.0572077599392,178.38058251192533,175.18186324024762,13360.908203125,Estrato Alto
Municipio Yalagüina,2025-07-01,0.119172044098377,0.9063200505754851,187.477800365819,169.91488950932978,71.40755290770491,225.7421247662276,179.31777724234567,175.6447470529636,13360.908203125,Estrato Alto
